Breach Submission Date,Attack Type
2022-07-29,Ransomware
2022-07-27,Ransomware
2022-07-26,Unauthorized Access/Disclosure
2022-07-26,Phishing
2022-07-20,Phishing
2022-07-20,Phishing
2022-07-19,Ransomware
2022-07-15,Unauthorized Access/Disclosure
2022-07-15,Ransomware
2022-07-15,Ransomware
2022-07-15,Hacking/IT Incident
2022-07-13,Ransomware
2022-07-12,Ransomware
2022-07-12,Ransomware
2022-07-12,Hacking/IT Incident
2022-07-08,Theft
2022-07-08,Hacking/IT Incident
2022-07-08,Hacking/IT Incident
2022-07-07,Unauthorized Access/Disclosure
2022-07-07,Unauthorized Access/Disclosure
2022-07-05,Ransomware
2022-07-05,Ransomware
2022-07-05,Ransomware
2022-07-05,Ransomware
2022-07-05,Ransomware
2022-07-05,Ransomware
2022-07-05,Ransomware
2022-07-01,Phishing
2022-07-01,Hacking/IT Incident
2022-06-30,Ransomware
2022-06-30,Phishing
2022-06-30,Hacking/IT Incident
2022-06-29,Phishing
2022-06-28,Hacking/IT Incident
2022-06-28,Hacking/IT Incident
2022-06-28,Hacking/IT Incident
2022-06-24,Unauthorized Access/Disclosure
2022-06-24,Phishing
2022-06-24,Unauthorized Access/Disclosure
2022-06-21,Hacking/IT Incident
2022-06-20,Hacking/IT Incident
2022-06-20,Hacking
2022-06-17,Unauthorized Access/Disclosure
2022-06-17,Hacking/IT Incident
2022-06-17,Hacking/IT Incident
2022-06-17,Hacking/IT Incident
2022-06-17,Malware
2022-06-17,Hacking/IT Incident
2022-06-16,Theft
2022-06-16,Ransomware
2022-06-16,Hacking/IT Incident
2022-06-15,Hacking/IT Incident
2022-06-15,Theft
2022-06-14,Hacking/IT Incident
2022-06-10,Hacking
2022-06-10,Hacking/IT Incident
2022-06-08,Theft
2022-06-07,Phishing
2022-06-07,Ransomware
2022-06-06,Phishing
2022-06-04,Loss
2022-06-03,Hacking
2022-06-03,Phishing
2022-06-02,Ransomware
2022-06-02,Unauthorized Access/Disclosure
2022-06-02,Hacking/IT Incident
2022-06-01,Improper Disposal
2022-06-01,Ransomware
2022-06-01,Hacking/IT Incident
2022-06-01,Hacking/IT Incident
2022-05-31,Hacking/IT Incident
2022-05-27,Hacking/IT Incident
2022-05-27,Hacking/IT Incident
2022-05-27,Ransomware
2022-05-27,Phishing
2022-05-27,Hacking/IT Incident
2022-05-27,Unauthorized Access/Disclosure
2022-05-27,Hacking
2022-05-27,Phishing
2022-05-25,Phishing
2022-05-23,Unauthorized Access/Disclosure
2022-05-20,Phishing
2022-05-20,Unauthorized Access/Disclosure
2022-05-20,Ransomware
2022-05-20,Theft
2022-05-20,Unauthorized Access/Disclosure
2022-05-16,Hacking/IT Incident
2022-05-16,Unauthorized Access/Disclosure
2022-05-16,Unauthorized Access/Disclosure
2022-05-16,Unauthorized Access/Disclosure
2022-05-12,Hacking/IT Incident
2022-05-11,Unauthorized Access/Disclosure
2022-05-10,Phishing
2022-05-09,Theft
2022-05-09,Unauthorized Access/Disclosure
2022-05-09,Hacking/IT Incident
2022-05-06,Ransomware
2022-05-06,Phishing
2022-05-06,Phishing
2022-05-06,Phishing
2022-05-04,Hacking/IT Incident
2022-05-03,Phishing
2022-05-03,Unauthorized Access/Disclosure
2022-05-02,Ransomware
2022-05-02,Unauthorized Access/Disclosure
2022-05-02,Unauthorized Access/Disclosure
2022-04-29,Hacking/IT Incident
2022-04-28,Hacking/IT Incident
2022-04-28,Phishing
2022-04-27,Hacking/IT Incident
2022-04-25,Malware
2022-04-22,Ransomware
2022-04-22,Loss
2022-04-22,Unauthorized Access/Disclosure
2022-04-20,Phishing
2022-04-18,Phishing
2022-04-15,Unauthorized Access/Disclosure
2022-04-14,Hacking/IT Incident
2022-04-14,Improper Disposal
2022-04-11,Unauthorized Access/Disclosure
2022-04-11,Unauthorized Access/Disclosure
2022-04-11,Ransomware
2022-04-11,Ransomware
2022-04-08,Theft
2022-04-08,Phishing
2022-04-07,Hacking/IT Incident
2022-04-06,Unauthorized Access/Disclosure
2022-04-06,Hacking/IT Incident
2022-04-05,Phishing
2022-04-05,Phishing
2022-03-31,Ransomware
2022-03-28,Hacking/IT Incident
2022-03-25,Phishing
2022-03-25,Ransomware
2022-03-19,Hacking/IT Incident
2022-03-18,Ransomware
2022-03-15,Hacking/IT Incident
2022-03-14,Phishing
2022-03-11,Hacking/IT Incident
2022-03-11,Hacking/IT Incident
2022-03-11,Hacking/IT Incident
2022-03-09,Ransomware
2022-03-06,Ransomware
2022-03-04,Ransomware
2022-03-04,Ransomware
2022-02-28,Ransomware
2022-02-25,Phishing
2022-02-25,Hacking/IT Incident
2022-02-25,Ransomware
2022-02-25,Loss
2022-02-23,Unauthorized Access/Disclosure
2022-02-23,Phishing
2022-02-23,Phishing
2022-02-23,Phishing
2022-02-18,Hacking
2022-02-17,Ransomware
2022-02-17,Phishing
2022-02-16,Ransomware
2022-02-15,Phishing
2022-02-15,Phishing
2022-02-15,Hacking/IT Incident
2022-02-14,Hacking/IT Incident
2022-02-14,Phishing
2022-02-11,Hacking/IT Incident
2022-02-11,Phishing
2022-02-10,Phishing
2022-02-08,Phishing
2022-02-08,Hacking/IT Incident
2022-02-04,Hacking/IT Incident
2022-02-04,Unauthorized Access/Disclosure
2022-02-03,Unauthorized Access/Disclosure
2022-02-01,Unauthorized Access/Disclosure
2022-01-31,Phishing
2022-01-28,Hacking/IT Incident
2022-01-26,Phishing
2022-01-22,Hacking/IT Incident
2022-01-21,Phishing
2022-01-21,Hacking/IT Incident
2022-01-21,Hacking/IT Incident
2022-01-21,Ransomware
2022-01-20,Ransomware
2022-01-20,Hacking/IT Incident
2022-01-20,Hacking/IT Incident
2022-01-20,Ransomware
2022-01-19,Hacking/IT Incident
2022-01-19,Unauthorized Access/Disclosure
2022-01-18,Unauthorized Access/Disclosure
2022-01-18,Phishing
2022-01-14,Phishing
2022-01-14,Hacking/IT Incident
2022-01-14,Theft
2022-01-13,Unauthorized Access/Disclosure
2022-01-12,Unauthorized Access/Disclosure
2022-01-11,Hacking/IT Incident
2022-01-07,Phishing
2022-01-07,Ransomware
2022-01-07,Ransomware
2022-01-06,Unauthorized Access/Disclosure
2022-01-05,Phishing
2022-01-05,Phishing
2022-01-03,Phishing
2022-01-03,Ransomware
2022-01-02,Hacking/IT Incident
2021-12-30,Ransomware
2021-12-30,Ransomware
2021-12-30,Phishing
2021-12-30,Ransomware
2021-12-30,Ransomware
2021-12-30,Ransomware
2021-12-29,Hacking/IT Incident
2021-12-27,Phishing
2021-12-23,Ransomware
2021-12-22,Hacking/IT Incident
2021-12-21,Phishing
2021-12-21,Ransomware
2021-12-21,Phishing
2021-12-21,Theft
2021-12-21,Hacking/IT Incident
2021-12-21,Hacking/IT Incident
2021-12-20,Improper Disposal
2021-12-20,Phishing
2021-12-16,Ransomware
2021-12-16,Ransomware
2021-12-14,Ransomware
2021-12-13,Phishing
2021-12-10,Ransomware
2021-12-10,Ransomware
2021-12-09,Phishing
2021-12-07,Phishing
2021-12-07,Unauthorized Access/Disclosure
2021-12-07,Hacking/IT Incident
2021-12-03,Phishing
2021-12-03,Unauthorized Access/Disclosure
2021-12-03,Hacking/IT Incident
2021-12-03,Hacking/IT Incident
2021-12-03,Hacking/IT Incident
2021-12-03,Unauthorized Access/Disclosure
2021-12-01,Phishing
2021-11-30,Ransomware
2021-11-30,Ransomware
2021-11-29,Ransomware
2021-11-29,Phishing
2021-11-29,Theft
2021-11-29,Hacking/IT Incident
2021-11-26,Ransomware
2021-11-24,Hacking/IT Incident
2021-11-24,Unauthorized Access/Disclosure
2021-11-23,Malware
2021-11-23,Ransomware
2021-11-23,Ransomware
2021-11-22,Malware
2021-11-19,Ransomware
2021-11-19,Phishing
2021-11-19,Hacking/IT Incident
2021-11-19,Phishing
2021-11-19,Ransomware
2021-11-19,Ransomware
2021-11-17,Phishing
2021-11-15,Unauthorized Access/Disclosure
2021-11-12,Hacking
2021-11-12,Phishing
2021-11-12,Theft
2021-11-10,Ransomware
2021-11-09,Ransomware
2021-11-09,Hacking/IT Incident
2021-11-09,Ransomware
2021-11-09,Phishing
2021-11-08,Unauthorized Access/Disclosure
2021-11-05,Ransomware
2021-11-05,Unauthorized Access/Disclosure
2021-11-05,Phishing
2021-11-05,Ransomware
2021-11-05,Hacking/IT Incident
2021-11-05,Phishing
2021-11-04,Ransomware
2021-11-04,Phishing
2021-11-03,Hacking/IT Incident
2021-11-03,Ransomware
2021-11-02,Ransomware
2021-11-02,Phishing
2021-11-02,Hacking/IT Incident
2021-10-30,Ransomware
2021-10-29,Ransomware
2021-10-29,Phishing
2021-10-28,Ransomware
2021-10-28,Ransomware
2021-10-27,Theft
2021-10-27,Ransomware
2021-10-27,Ransomware
2021-10-26,Hacking/IT Incident
2021-10-26,Ransomware
2021-10-26,Ransomware
2021-10-26,Ransomware
2021-10-26,Ransomware
2021-10-26,Loss
2021-10-26,Theft
2021-10-25,Phishing
2021-10-25,Unauthorized Access/Disclosure
2021-10-22,Hacking
2021-10-21,Ransomware
2021-10-21,Ransomware
2021-10-19,Phishing
2021-10-18,Unauthorized Access/Disclosure
2021-10-18,Phishing
2021-10-17,Hacking/IT Incident
2021-10-15,Unauthorized Access/Disclosure
2021-10-15,Ransomware
2021-10-13,Unauthorized Access/Disclosure
2021-10-12,Phishing
2021-10-12,Ransomware
2021-10-12,Unauthorized Access/Disclosure
2021-10-08,Phishing
2021-10-08,Ransomware
2021-10-07,Ransomware
2021-10-07,Ransomware
2021-10-06,Theft
2021-10-06,Hacking/IT Incident
2021-10-05,Unauthorized Access/Disclosure
2021-10-04,Ransomware
2021-10-01,Phishing
2021-10-01,Phishing
2021-10-01,Phishing
2021-10-01,Phishing
2021-10-01,Phishing
2021-10-01,Phishing
2021-10-01,Phishing
2021-10-01,Phishing
2021-10-01,Phishing
2021-10-01,Phishing
2021-10-01,Phishing
2021-10-01,Phishing
2021-09-28,Unauthorized Access/Disclosure
2021-09-27,Phishing
2021-09-24,Unauthorized Access/Disclosure
2021-09-24,Phishing
2021-09-24,Phishing
2021-09-23,Theft
2021-09-22,Hacking/IT Incident
2021-09-22,Phishing
2021-09-21,Loss
2021-09-17,Hacking/IT Incident
2021-09-17,Ransomware
2021-09-17,Theft
2021-09-17,Malware
2021-09-16,Unauthorized Access/Disclosure
2021-09-15,Theft
2021-09-15,Ransomware
2021-09-14,Theft
2021-09-13,Phishing
2021-09-13,Malware
2021-09-13,Ransomware
2021-09-13,Ransomware
2021-09-10,Phishing
2021-09-10,Ransomware
2021-09-10,Ransomware
2021-09-10,Theft
2021-09-09,Ransomware
2021-09-08,Phishing
2021-09-08,Phishing
2021-09-05,Theft
2021-09-03,Ransomware
2021-09-03,Phishing
2021-09-03,Unauthorized Access/Disclosure
2021-09-02,Ransomware
2021-08-30,Unauthorized Access/Disclosure
2021-08-30,Phishing
2021-08-30,Ransomware
2021-08-30,Ransomware
2021-08-30,Phishing
2021-08-27,Hacking/IT Incident
2021-08-25,Ransomware
2021-08-25,Ransomware
2021-08-25,Ransomware
2021-08-24,Ransomware
2021-08-23,Ransomware
2021-08-20,Unauthorized Access/Disclosure
2021-08-19,Phishing
2021-08-17,Hacking/IT Incident
2021-08-16,Phishing
2021-08-16,Unauthorized Access/Disclosure
2021-08-13,Phishing
2021-08-13,Phishing
2021-08-12,Hacking/IT Incident
2021-08-12,Unauthorized Access/Disclosure
2021-08-11,Phishing
2021-08-11,Phishing
2021-08-06,Unauthorized Access/Disclosure
2021-08-05,Hacking/IT Incident
2021-08-03,Ransomware
2021-08-03,Hacking/IT Incident
2021-08-02,Phishing
2021-08-02,Unauthorized Access/Disclosure
2021-07-30,Ransomware
2021-07-30,Hacking/IT Incident
2021-07-30,Ransomware
2021-07-30,Ransomware
2021-07-30,Ransomware
2021-07-30,Unauthorized Access/Disclosure
2021-07-29,Hacking/IT Incident
2021-07-28,Ransomware
2021-07-28,Phishing
2021-07-27,Hacking/IT Incident
2021-07-27,Unauthorized Access/Disclosure
2021-07-26,Unauthorized Access/Disclosure
2021-07-24,Hacking/IT Incident
2021-07-23,Hacking/IT Incident
2021-07-23,Ransomware
2021-07-23,Hacking/IT Incident
2021-07-23,Phishing
2021-07-23,Phishing
2021-07-22,Phishing
2021-07-22,Hacking/IT Incident
2021-07-21,Hacking/IT Incident
2021-07-21,Phishing
2021-07-20,Phishing
2021-07-20,Unauthorized Access/Disclosure
2021-07-20,Unauthorized Access/Disclosure
2021-07-20,Phishing
2021-07-19,Phishing
2021-07-19,Unauthorized Access/Disclosure
2021-07-19,Hacking/IT Incident
2021-07-19,Ransomware
2021-07-16,Hacking/IT Incident
2021-07-16,Phishing
2021-07-16,Ransomware
2021-07-16,Phishing
2021-07-16,Ransomware
2021-07-16,Theft
2021-07-16,Ransomware
2021-07-15,Hacking/IT Incident
2021-07-14,Phishing
2021-07-14,Theft
2021-07-14,Phishing
2021-07-13,Phishing
2021-07-13,Ransomware
2021-07-13,Unauthorized Access/Disclosure
2021-07-13,Hacking/IT Incident
2021-07-12,Unauthorized Access/Disclosure
2021-07-12,Unauthorized Access/Disclosure
2021-07-10,Phishing
2021-07-09,Hacking/IT Incident
2021-07-09,Ransomware
2021-07-08,Hacking/IT Incident
2021-07-08,Ransomware
2021-07-08,Ransomware
2021-07-08,Malware
2021-07-08,Unauthorized Access/Disclosure
2021-07-07,Ransomware
2021-07-07,Unauthorized Access/Disclosure
2021-07-07,Unauthorized Access/Disclosure
2021-07-06,Improper Disposal
2021-07-06,Unauthorized Access/Disclosure
2021-07-02,Ransomware
2021-07-02,Hacking/IT Incident
2021-07-02,Unauthorized Access/Disclosure
2021-07-02,Hacking/IT Incident
2021-07-02,Hacking
2021-07-02,Hacking/IT Incident
2021-07-01,Hacking/IT Incident
2021-07-01,Hacking/IT Incident
2021-07-01,Hacking/IT Incident
2021-06-30,Ransomware
2021-06-30,Ransomware
2021-06-30,Ransomware
2021-06-29,Phishing
2021-06-29,Hacking/IT Incident
2021-06-29,Ransomware
2021-06-28,Ransomware
2021-06-28,Phishing
2021-06-28,Ransomware
2021-06-28,Phishing
2021-06-28,Unauthorized Access/Disclosure
2021-06-25,Hacking/IT Incident
2021-06-25,Ransomware
2021-06-25,Hacking/IT Incident
2021-06-24,Hacking/IT Incident
2021-06-24,Unauthorized Access/Disclosure
2021-06-24,Phishing
2021-06-24,Unauthorized Access/Disclosure
2021-06-23,Ransomware
2021-06-22,Phishing
2021-06-22,Hacking/IT Incident
2021-06-22,Ransomware
2021-06-22,Hacking/IT Incident
2021-06-22,Ransomware
2021-06-21,Phishing
2021-06-21,Ransomware
2021-06-19,Improper Disposal
2021-06-18,Unauthorized Access/Disclosure
2021-06-18,Hacking/IT Incident
2021-06-18,Hacking/IT Incident
2021-06-18,Loss
2021-06-18,Hacking/IT Incident
2021-06-18,Hacking/IT Incident
2021-06-17,Ransomware
2021-06-16,Ransomware
2021-06-15,Ransomware
2021-06-15,Hacking/IT Incident
2021-06-14,Unauthorized Access/Disclosure
2021-06-14,Ransomware
2021-06-12,Phishing
2021-06-11,Hacking/IT Incident
2021-06-11,Phishing
2021-06-09,Hacking/IT Incident
2021-06-09,Ransomware
2021-06-09,Ransomware
2021-06-09,Unauthorized Access/Disclosure
2021-06-08,Ransomware
2021-06-08,Hacking/IT Incident
2021-06-07,Unauthorized Access/Disclosure
2021-06-07,Unauthorized Access/Disclosure
2021-06-07,Hacking/IT Incident
2021-06-07,Unauthorized Access/Disclosure
2021-06-07,Ransomware
2021-06-05,Ransomware
2021-06-04,Ransomware
2021-06-04,Ransomware
2021-06-04,Hacking/IT Incident
2021-06-04,Hacking/IT Incident
2021-06-04,Phishing
2021-06-04,Hacking/IT Incident
2021-06-04,Theft
2021-06-04,Ransomware
2021-06-04,Hacking/IT Incident
2021-06-03,Hacking/IT Incident
2021-06-02,Hacking/IT Incident
2021-06-02,Ransomware
2021-06-02,Phishing
2021-06-01,Hacking/IT Incident
2021-06-01,Hacking/IT Incident
2021-06-01,Ransomware
2021-06-01,Hacking/IT Incident
2021-06-01,Hacking/IT Incident
2021-05-29,Ransomware
2021-05-28,Hacking/IT Incident
2021-05-28,Ransomware
2021-05-28,Ransomware
2021-05-28,Ransomware
2021-05-28,Hacking/IT Incident
2021-05-28,Hacking/IT Incident
2021-05-28,Ransomware
2021-05-28,Improper Disposal
2021-05-28,Hacking/IT Incident
2021-05-27,Hacking/IT Incident
2021-05-27,Hacking/IT Incident
2021-05-27,Unauthorized Access/Disclosure
2021-05-27,Hacking/IT Incident
2021-05-26,Phishing
2021-05-26,Unauthorized Access/Disclosure
2021-05-26,Hacking/IT Incident
2021-05-26,Hacking/IT Incident
2021-05-26,Ransomware
2021-05-26,Ransomware
2021-05-25,Hacking/IT Incident
2021-05-25,Hacking/IT Incident
2021-05-24,Hacking/IT Incident
2021-05-24,Ransomware
2021-05-24,Hacking/IT Incident
2021-05-24,Ransomware
2021-05-21,Theft
2021-05-21,Ransomware
2021-05-21,Hacking
2021-05-21,Hacking/IT Incident
2021-05-21,Hacking/IT Incident
2021-05-20,Ransomware
2021-05-20,Hacking/IT Incident
2021-05-19,Hacking/IT Incident
2021-05-19,Phishing
2021-05-19,Unauthorized Access/Disclosure
2021-05-18,Ransomware
2021-05-18,Hacking
2021-05-18,Ransomware
2021-05-17,Ransomware
2021-05-17,Unauthorized Access/Disclosure
2021-05-14,Ransomware
2021-05-13,Hacking/IT Incident
2021-05-12,Ransomware
2021-05-11,Improper Disposal
2021-05-11,Unauthorized Access/Disclosure
2021-05-10,Hacking/IT Incident
2021-05-10,Ransomware
2021-05-10,Unauthorized Access/Disclosure
2021-05-07,Unauthorized Access/Disclosure
2021-05-07,Loss
2021-05-07,Hacking/IT Incident
2021-05-07,Ransomware
2021-05-07,Ransomware
2021-05-07,Ransomware
2021-05-07,Hacking/IT Incident
2021-05-07,Hacking
2021-05-07,Hacking
2021-05-06,Theft
2021-05-06,Ransomware
2021-05-06,Ransomware
2021-05-06,Theft
2021-05-06,Unauthorized Access/Disclosure
2021-05-05,Ransomware
2021-05-04,Hacking/IT Incident
2021-05-04,Hacking/IT Incident
2021-05-03,Ransomware
2021-04-30,Unauthorized Access/Disclosure
2021-04-30,Hacking/IT Incident
2021-04-30,Phishing
2021-04-29,Ransomware
2021-04-29,Unauthorized Access/Disclosure
2021-04-29,Phishing
2021-04-28,Hacking/IT Incident
2021-04-28,Hacking/IT Incident
2021-04-28,Hacking/IT Incident
2021-04-28,Hacking/IT Incident
2021-04-28,Hacking/IT Incident
2021-04-28,Hacking/IT Incident
2021-04-28,Hacking
2021-04-27,Phishing
2021-04-26,Theft
2021-04-26,Ransomware
2021-04-23,Unauthorized Access/Disclosure
2021-04-23,Ransomware
2021-04-23,Unauthorized Access/Disclosure
2021-04-23,Phishing
2021-04-23,Hacking/IT Incident
2021-04-22,Hacking/IT Incident
2021-04-22,Hacking/IT Incident
2021-04-22,Ransomware
2021-04-21,Ransomware
2021-04-21,Loss
2021-04-21,Unauthorized Access/Disclosure
2021-04-21,Hacking/IT Incident
2021-04-20,Hacking/IT Incident
2021-04-20,Ransomware
2021-04-20,Ransomware
2021-04-20,Ransomware
2021-04-19,Hacking/IT Incident
2021-04-19,Unauthorized Access/Disclosure
2021-04-19,Phishing
2021-04-16,Unauthorized Access/Disclosure
2021-04-16,Unauthorized Access/Disclosure
2021-04-16,Phishing
2021-04-16,Phishing
2021-04-16,Ransomware
2021-04-16,Unauthorized Access/Disclosure
2021-04-16,Ransomware
2021-04-15,Unauthorized Access/Disclosure
2021-04-15,Hacking
2021-04-14,Ransomware
2021-04-13,Unauthorized Access/Disclosure
2021-04-12,Hacking/IT Incident
2021-04-12,Phishing
2021-04-09,Hacking/IT Incident
2021-04-09,Hacking/IT Incident
2021-04-09,Hacking/IT Incident
2021-04-09,Hacking/IT Incident
2021-04-09,Ransomware
2021-04-08,Ransomware
2021-04-08,Unauthorized Access/Disclosure
2021-04-08,Unauthorized Access/Disclosure
2021-04-07,Hacking
2021-04-06,Phishing
2021-04-06,Phishing
2021-04-06,Unauthorized Access/Disclosure
2021-04-05,Hacking/IT Incident
2021-04-05,Phishing
2021-04-05,Hacking/IT Incident
2021-04-05,Phishing
2021-04-05,Hacking/IT Incident
2021-04-02,Ransomware
2021-04-02,Phishing
2021-04-02,Hacking/IT Incident
2021-04-02,Ransomware
2021-04-01,Hacking/IT Incident
2021-04-01,Unauthorized Access/Disclosure
2021-03-31,Hacking/IT Incident
2021-03-31,Unauthorized Access/Disclosure
2021-03-31,Unauthorized Access/Disclosure
2021-03-31,Unauthorized Access/Disclosure
2021-03-31,Unauthorized Access/Disclosure
2021-03-30,Ransomware
2021-03-29,Hacking/IT Incident
2021-03-29,Hacking/IT Incident
2021-03-29,Unauthorized Access/Disclosure
2021-03-26,Hacking/IT Incident
2021-03-26,Hacking/IT Incident
2021-03-26,Phishing
2021-03-26,Ransomware
2021-03-26,Ransomware
2021-03-25,Hacking/IT Incident
2021-03-25,Hacking/IT Incident
2021-03-25,Hacking/IT Incident
2021-03-25,Hacking/IT Incident
2021-03-25,Hacking/IT Incident
2021-03-25,Phishing
2021-03-24,Ransomware
2021-03-24,Ransomware
2021-03-24,Ransomware
2021-03-24,Hacking/IT Incident
2021-03-24,Unauthorized Access/Disclosure
2021-03-23,Hacking
2021-03-23,Unauthorized Access/Disclosure
2021-03-23,Hacking/IT Incident
2021-03-22,Phishing
2021-03-22,Unauthorized Access/Disclosure
2021-03-20,Unauthorized Access/Disclosure
2021-03-19,Theft
2021-03-19,Hacking/IT Incident
2021-03-19,Hacking/IT Incident
2021-03-19,Phishing
2021-03-19,Ransomware
2021-03-18,Ransomware
2021-03-18,Ransomware
2021-03-18,Ransomware
2021-03-18,Hacking/IT Incident
2021-03-18,Unauthorized Access/Disclosure
2021-03-17,Unauthorized Access/Disclosure
2021-03-17,Unauthorized Access/Disclosure
2021-03-17,Unauthorized Access/Disclosure
2021-03-17,Unauthorized Access/Disclosure
2021-03-16,Unauthorized Access/Disclosure
2021-03-16,Phishing
2021-03-12,Phishing
2021-03-12,Unauthorized Access/Disclosure
2021-03-12,Ransomware
2021-03-10,Hacking/IT Incident
2021-03-10,Ransomware
2021-03-09,Hacking/IT Incident
2021-03-05,Theft
2021-03-05,Hacking/IT Incident
2021-03-05,Hacking/IT Incident
2021-03-05,Ransomware
2021-03-05,Loss
2021-03-05,Hacking/IT Incident
2021-03-05,Hacking/IT Incident
2021-03-05,Ransomware
2021-03-05,Unauthorized Access/Disclosure
2021-03-04,Phishing
2021-03-04,Phishing
2021-03-03,Hacking/IT Incident
2021-03-02,Hacking/IT Incident
2021-03-02,Hacking/IT Incident
2021-03-02,Hacking/IT Incident
2021-03-02,Phishing
2021-03-02,Phishing
2021-03-02,Hacking/IT Incident
2021-03-01,Ransomware
2021-02-28,Unauthorized Access/Disclosure
2021-02-26,Ransomware
2021-02-26,Phishing
2021-02-26,Ransomware
2021-02-26,Phishing
2021-02-26,Unauthorized Access/Disclosure
2021-02-26,Unauthorized Access/Disclosure
2021-02-26,Unauthorized Access/Disclosure
2021-02-26,Unauthorized Access/Disclosure
2021-02-25,Phishing
2021-02-25,Hacking/IT Incident
2021-02-24,Ransomware
2021-02-24,Phishing
2021-02-24,Unauthorized Access/Disclosure
2021-02-23,Unauthorized Access/Disclosure
2021-02-23,Loss
2021-02-23,Phishing
2021-02-22,Unauthorized Access/Disclosure
2021-02-19,Phishing
2021-02-19,Hacking/IT Incident
2021-02-19,Theft
2021-02-19,Theft
2021-02-19,Phishing
2021-02-19,Phishing
2021-02-19,Ransomware
2021-02-19,Ransomware
2021-02-18,Phishing
2021-02-16,Unauthorized Access/Disclosure
2021-02-12,Ransomware
2021-02-12,Ransomware
2021-02-12,Phishing
2021-02-11,Ransomware
2021-02-09,Unauthorized Access/Disclosure
2021-02-09,Ransomware
2021-02-09,Phishing
2021-02-08,Hacking/IT Incident
2021-02-08,Hacking/IT Incident
2021-02-08,Phishing
2021-02-05,Phishing
2021-02-05,Phishing
2021-02-05,Unauthorized Access/Disclosure
2021-02-05,Phishing
2021-02-04,Ransomware
2021-02-03,Unauthorized Access/Disclosure
2021-02-03,Hacking/IT Incident
2021-02-02,Phishing
2021-02-01,Hacking/IT Incident
2021-02-01,Phishing
2021-02-01,Phishing
2021-01-29,Unauthorized Access/Disclosure
2021-01-29,Hacking/IT Incident
2021-01-29,Unauthorized Access/Disclosure
2021-01-29,Phishing
2021-01-29,Phishing
2021-01-29,Hacking/IT Incident
2021-01-28,Unauthorized Access/Disclosure
2021-01-28,Phishing
2021-01-23,Unauthorized Access/Disclosure
2021-01-22,Ransomware
2021-01-22,Unauthorized Access/Disclosure
2021-01-22,Unauthorized Access/Disclosure
2021-01-22,Phishing
2021-01-21,Hacking/IT Incident
2021-01-21,Ransomware
2021-01-20,Malware
2021-01-19,Ransomware
2021-01-15,Ransomware
2021-01-15,Phishing
2021-01-15,Unauthorized Access/Disclosure
2021-01-15,Unauthorized Access/Disclosure
2021-01-15,Phishing
2021-01-12,Phishing
2021-01-12,Phishing
2021-01-12,Loss
2021-01-11,Ransomware
2021-01-11,Phishing
