uniqser,Date,RansomWare,Malware,DoS,Hacking,Impersonation,Phishing,UnauthorisedAccess,UnauthorisedAccessExternal,Other,UnauthorisedAccessTudents,MiTM,AccountTakeOver
1069,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,Any other types of cyber security breaches or attacks,,,
1070,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,,,,
1071,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1072,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,,,,,,,
1073,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,,,,
1074,2017-01-01 00:00:00,,,,,,,,,,,,
1075,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1076,2017-01-01 00:00:00,,,,,,,,,,,,
1077,2017-01-01 00:00:00,,,Denial of service attacks,,,Phishing attacks,,,,,,
1078,2017-01-01 00:00:00,,,,,,,,,,,,
1079,2017-01-01 00:00:00,,,,,,,,,,,,
1080,2017-01-01 00:00:00,,,,,,,,,,,,
1081,2017-01-01 00:00:00,,,,,,,,,,,,
1082,2017-01-01 00:00:00,,,,,,,,,,,,
1083,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1084,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1085,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1086,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1087,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,,,,Any other types of cyber security breaches or attacks,,,
1088,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1089,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1090,2017-01-01 00:00:00,Computers becoming infected with ransomware,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1091,2017-01-01 00:00:00,,,,,,,,,,,,
1092,2017-01-01 00:00:00,Computers becoming infected with ransomware,,Denial of service attacks,,People impersonating your organisation in emails or online,Phishing attacks,,Unauthorised accessing of files or network by people outside your organisation,,,,
1093,2017-01-01 00:00:00,,,,,,,,,,,,
1094,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1095,2017-01-01 00:00:00,,,,,,,,,,,,
1096,2017-01-01 00:00:00,,,,,,,,,,,,
1097,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1098,2017-01-01 00:00:00,,,,,,,,,,,,
1099,2017-01-01 00:00:00,,,,,,,,,,,,
1100,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1101,2017-01-01 00:00:00,,,,,,,,,,,,
1102,2017-01-01 00:00:00,,,Denial of service attacks,Hacking or attempted hacking of online bank accounts,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1103,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1104,2017-01-01 00:00:00,,,,,,,,,,,,
1105,2017-01-01 00:00:00,,,,,,,,,,,,
1106,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1107,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1108,2017-01-01 00:00:00,,,,Hacking or attempted hacking of online bank accounts,,Phishing attacks,,,,,,
1109,2017-01-01 00:00:00,,,,,,,,,,,,
1110,2017-01-01 00:00:00,,,,,,,,,,,,
1111,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1112,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1113,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1114,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1115,2017-01-01 00:00:00,,,,,,,,,,,,
1116,2017-01-01 00:00:00,,,,,,,,,,,,
1117,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1118,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1119,2017-01-01 00:00:00,,,,,,,,,,,,
1120,2017-01-01 00:00:00,,,,,,,,,,,,
1121,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1122,2017-01-01 00:00:00,,,,,,,,,,,,
1123,2017-01-01 00:00:00,,,,,,,,,,,,
1124,2017-01-01 00:00:00,,,,,,,,,,,,
1125,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1126,2017-01-01 00:00:00,,,,,,,,,,,,
1127,2017-01-01 00:00:00,Computers becoming infected with ransomware,,,Hacking or attempted hacking of online bank accounts,People impersonating your organisation in emails or online,Phishing attacks,,Unauthorised accessing of files or network by people outside your organisation,,,,
1128,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,Unauthorised accessing of files or network by people outside your organisation,Any other types of cyber security breaches or attacks,,,
1129,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1130,2017-01-01 00:00:00,,,,,,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,,,,
1131,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),Denial of service attacks,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1132,2017-01-01 00:00:00,,,,,,,,,,,,
1133,2017-01-01 00:00:00,,,,,,,,,,,,
1134,2017-01-01 00:00:00,,,,,,,,,,,,
1135,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1136,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1137,2017-01-01 00:00:00,,,,,,,,,,,,
1138,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1139,2017-01-01 00:00:00,Computers becoming infected with ransomware,,Denial of service attacks,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1140,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,Unauthorised accessing of files or network by people outside your organisation,Any other types of cyber security breaches or attacks,,,
1141,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",Unauthorised accessing of files or network by people outside your organisation,,,,
1142,2017-01-01 00:00:00,,,,,,,,,,,,
1143,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1144,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1145,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1146,2017-01-01 00:00:00,Computers becoming infected with ransomware,,,Hacking or attempted hacking of online bank accounts,,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",Unauthorised accessing of files or network by people outside your organisation,,,,
1147,2017-01-01 00:00:00,,,,,,,,,,,,
1148,2017-01-01 00:00:00,,,,,,,,,,,,
1149,2017-01-01 00:00:00,,,,,,,,,,,,
1150,2017-01-01 00:00:00,,,,,,,,,,,,
1151,2017-01-01 00:00:00,,,,,,,,,,,,
1152,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1153,2017-01-01 00:00:00,,,Denial of service attacks,,,,,,,,,
1154,2017-01-01 00:00:00,,,,,,,,,,,,
1155,2017-01-01 00:00:00,,,,,,,,,,,,
1156,2017-01-01 00:00:00,,,,,,,,,,,,
1157,2017-01-01 00:00:00,,,,,,,,,,,,
1158,2017-01-01 00:00:00,,,,,,,,,,,,
1159,2017-01-01 00:00:00,,,,,,,,,,,,
1160,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1161,2017-01-01 00:00:00,,,,,,,,,,,,
1162,2017-01-01 00:00:00,,,,,,,,,,,,
1163,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1164,2017-01-01 00:00:00,,,,,,,,,,,,
1165,2017-01-01 00:00:00,,,,,,,,,,,,
1166,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1167,2017-01-01 00:00:00,,,,,,,,,,,,
1168,2017-01-01 00:00:00,,,,,,,,,,,,
1169,2017-01-01 00:00:00,,,,,,,,,,,,
1170,2017-01-01 00:00:00,,,,,,,,,,,,
1171,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1172,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,,,,,,,
1173,2017-01-01 00:00:00,,,,,,,,,,,,
1174,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,Phishing attacks,,Unauthorised accessing of files or network by people outside your organisation,,,,
1175,2017-01-01 00:00:00,,,,,,,,,,,,
1176,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1177,2017-01-01 00:00:00,,,,,,,,,,,,
1178,2017-01-01 00:00:00,,,,,,,,,,,,
1179,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,Phishing attacks,,Unauthorised accessing of files or network by people outside your organisation,,,,
1180,2017-01-01 00:00:00,,,,,,,,,,,,
1181,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1182,2017-01-01 00:00:00,,,,,,,,,,,,
1183,2017-01-01 00:00:00,,,,,,,,,,,,
1184,2017-01-01 00:00:00,,,,,,,,,,,,
1185,2017-01-01 00:00:00,,,,,,,,,,,,
1186,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1187,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1188,2017-01-01 00:00:00,,,,,,,,,,,,
1189,2017-01-01 00:00:00,,,,,,,,,,,,
1190,2017-01-01 00:00:00,,,,,,,,,,,,
1191,2017-01-01 00:00:00,,,,,,,,,,,,
1192,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1193,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1194,2017-01-01 00:00:00,,,,,,,,,,,,
1195,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1196,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1197,2017-01-01 00:00:00,,,Denial of service attacks,,,,,,,,,
1198,2017-01-01 00:00:00,,,,,,,,,,,,
1199,2017-01-01 00:00:00,,,,,,,,,,,,
1200,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1201,2017-01-01 00:00:00,,,,,,,,,,,,
1202,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,,,,
1203,2017-01-01 00:00:00,,,Denial of service attacks,,,,,,,,,
1204,2017-01-01 00:00:00,,,,,,,,,,,,
1205,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1206,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1207,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1208,2017-01-01 00:00:00,,,,,,,,Unauthorised accessing of files or network by people outside your organisation,,,,
1209,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1210,2017-01-01 00:00:00,,,,,,,,,,,,
1211,2017-01-01 00:00:00,,,,,,,,,,,,
1212,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,,,,
1213,2017-01-01 00:00:00,,,,,,,,,,,,
1214,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),Denial of service attacks,,People impersonating your organisation in emails or online,Phishing attacks,,Unauthorised accessing of files or network by people outside your organisation,,,,
1215,2017-01-01 00:00:00,,,,,,,,,,,,
1216,2017-01-01 00:00:00,,,,,,,,,,,,
1217,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1218,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1219,2017-01-01 00:00:00,,,,,,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,,,,
1220,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1221,2017-01-01 00:00:00,,,,,,,,,,,,
1222,2017-01-01 00:00:00,,,,,,,,,,,,
1223,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1224,2017-01-01 00:00:00,,,,,,,,,,,,
1225,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1226,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1227,2017-01-01 00:00:00,,,,Hacking or attempted hacking of online bank accounts,,,,,,,,
1228,2017-01-01 00:00:00,,,,Hacking or attempted hacking of online bank accounts,,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,,,,
1229,2017-01-01 00:00:00,,,,Hacking or attempted hacking of online bank accounts,,Phishing attacks,,,,,,
1230,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1231,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,,,,,,,
1232,2017-01-01 00:00:00,,,,,,,,,,,,
1233,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1234,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1235,2017-01-01 00:00:00,,,,,,,,,,,,
1236,2017-01-01 00:00:00,,,,,,,,,,,,
1237,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1238,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1239,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1240,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,Hacking or attempted hacking of online bank accounts,,Phishing attacks,,,,,,
1241,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,,,,,,,
1242,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1243,2017-01-01 00:00:00,,,,,,,,,,,,
1244,2017-01-01 00:00:00,,,,,,,,,,,,
1245,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,Any other types of cyber security breaches or attacks,,,
1246,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,Any other types of cyber security breaches or attacks,,,
1247,2017-01-01 00:00:00,,,,Hacking or attempted hacking of online bank accounts,,,,,,,,
1248,2017-01-01 00:00:00,,,Denial of service attacks,,People impersonating your organisation in emails or online,Phishing attacks,,Unauthorised accessing of files or network by people outside your organisation,Any other types of cyber security breaches or attacks,,,
1249,2017-01-01 00:00:00,,,,,,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,,,,
1250,2017-01-01 00:00:00,,,,,,,,,,,,
1251,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),Denial of service attacks,Hacking or attempted hacking of online bank accounts,People impersonating your organisation in emails or online,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",Unauthorised accessing of files or network by people outside your organisation,Any other types of cyber security breaches or attacks,,,
1252,2017-01-01 00:00:00,,,,,,,,,,,,
1253,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1254,2017-01-01 00:00:00,,,,,,,,,,,,
1255,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1256,2017-01-01 00:00:00,,,,,,,,,,,,
1257,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,Any other types of cyber security breaches or attacks,,,
1258,2017-01-01 00:00:00,,,,,,,,,,,,
1259,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1260,2017-01-01 00:00:00,Computers becoming infected with ransomware,,,,,,,,,,,
1261,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1262,2017-01-01 00:00:00,,,,,,,,,,,,
1263,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),Denial of service attacks,,,Phishing attacks,,,,,,
1264,2017-01-01 00:00:00,,,,,,,,,,,,
1265,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1266,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1267,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,Phishing attacks,,,Any other types of cyber security breaches or attacks,,,
1268,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1269,2017-01-01 00:00:00,,,,,,,,,,,,
1270,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1271,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,Hacking or attempted hacking of online bank accounts,,,,,,,,
1272,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),Denial of service attacks,,,Phishing attacks,,,,,,
1273,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1274,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1275,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),Denial of service attacks,,,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,,,,
1276,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1277,2017-01-01 00:00:00,Computers becoming infected with ransomware,,,,,Phishing attacks,,,,,,
1278,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1279,2017-01-01 00:00:00,,,,,,,,,,,,
1280,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1281,2017-01-01 00:00:00,,,,,,,,,,,,
1282,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1283,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1284,2017-01-01 00:00:00,,,,,,,,,,,,
1285,2017-01-01 00:00:00,,,,,,,,,,,,
1286,2017-01-01 00:00:00,Computers becoming infected with ransomware,,,,,Phishing attacks,,,,,,
1287,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1288,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),Denial of service attacks,,People impersonating your organisation in emails or online,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,Any other types of cyber security breaches or attacks,,,
1289,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,Unauthorised accessing of files or network by people outside your organisation,,,,
1290,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1291,2017-01-01 00:00:00,,,,,,,,,,,,
1292,2017-01-01 00:00:00,,,,,,,,,,,,
1293,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1294,2017-01-01 00:00:00,,,,,,,,,,,,
1295,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,,,,
1296,2017-01-01 00:00:00,,,,,,,,,,,,
1297,2017-01-01 00:00:00,Computers becoming infected with ransomware,,,,,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,Any other types of cyber security breaches or attacks,,,
1298,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1299,2017-01-01 00:00:00,Computers becoming infected with ransomware,,,,,Phishing attacks,,Unauthorised accessing of files or network by people outside your organisation,,,,
1300,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1301,2017-01-01 00:00:00,,,,,,,,,,,,
1302,2017-01-01 00:00:00,,,,,,,,,,,,
1303,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1304,2017-01-01 00:00:00,,,,,,,,,,,,
1305,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1306,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1307,2017-01-01 00:00:00,,,,,,,,,,,,
1308,2017-01-01 00:00:00,,,Denial of service attacks,,,,,,,,,
1309,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1310,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
